                ****************************************
                                VPA-2BOX                
                BOOTSTRAP ESTIMATES OF BIAS AND VARIANCE
                ****************************************


BFT East 55-06 test                               
12:14, 16 September 2010


 *************************************************
 BIAS AND STANDARD ERROR ESTIMATES
 *************************************************


TABLE 1A. BIAS OF FISHING MORTALITY RATE FOR EAST OF 45                                        
=============================================================================
        1      2      3      4      5      6      7      8      9     10
-----------------------------------------------------------------------------
  1993 -0.111E+05 -0.833E+04 -0.824E+04 -0.217E+04 -0.217E+04 -0.740E+03 -0.521E+03 -0.278E+03 -0.192E+03 -0.151E+04
  1994 -0.139E+05 -0.677E+04 -0.652E+04 -0.648E+04 -0.170E+04 -0.171E+04 -0.606E+03 -0.438E+03 -0.240E+03 -0.153E+04
  1995 -0.109E+05 -0.853E+04 -0.532E+04 -0.512E+04 -0.509E+04 -0.134E+04 -0.140E+04 -0.508E+03 -0.377E+03 -0.159E+04
  1996 -0.156E+05 -0.666E+04 -0.671E+04 -0.418E+04 -0.403E+04 -0.401E+04 -0.110E+04 -0.117E+04 -0.437E+03 -0.177E+04
  1997 -0.118E+05 -0.956E+04 -0.523E+04 -0.527E+04 -0.329E+04 -0.317E+04 -0.328E+04 -0.919E+03 -0.101E+04 -0.198E+04
  1998 -0.834E+05 -0.722E+04 -0.752E+04 -0.411E+04 -0.414E+04 -0.259E+04 -0.259E+04 -0.275E+04 -0.791E+03 -0.268E+04
  1999 -0.814E+05 -0.511E+05 -0.565E+04 -0.590E+04 -0.323E+04 -0.326E+04 -0.211E+04 -0.218E+04 -0.237E+04 -0.313E+04
  2000 -0.885E+05 -0.498E+05 -0.402E+05 -0.443E+04 -0.463E+04 -0.254E+04 -0.266E+04 -0.177E+04 -0.187E+04 -0.492E+04
  2001 -0.976E+05 -0.538E+05 -0.391E+05 -0.315E+05 -0.348E+04 -0.364E+04 -0.207E+04 -0.224E+04 -0.153E+04 -0.610E+04
  2002  0.196E+05 -0.598E+05 -0.421E+05 -0.307E+05 -0.248E+05 -0.274E+04 -0.298E+04 -0.174E+04 -0.192E+04 -0.687E+04
  2003  0.239E+05  0.120E+05 -0.467E+05 -0.330E+05 -0.241E+05 -0.195E+05 -0.224E+04 -0.250E+04 -0.150E+04 -0.790E+04
  2004  0.428E+06  0.147E+05  0.946E+04 -0.367E+05 -0.260E+05 -0.190E+05 -0.160E+05 -0.188E+04 -0.215E+04 -0.846E+04
  2005  0.906E+05  0.262E+06  0.115E+05  0.744E+04 -0.289E+05 -0.204E+05 -0.155E+05 -0.134E+05 -0.161E+04 -0.954E+04
  2006  0.105E+06  0.554E+05  0.206E+06  0.909E+04  0.585E+04 -0.227E+05 -0.167E+05 -0.130E+05 -0.115E+05 -0.100E+05
  2007  0.180E+05  0.641E+05  0.435E+05  0.162E+06  0.715E+04  0.460E+04 -0.186E+05 -0.140E+05 -0.112E+05 -0.192E+05
  2008  0.525E+04  0.110E+05  0.503E+05  0.342E+05  0.127E+06  0.563E+04  0.377E+04 -0.156E+05 -0.121E+05 -0.272E+05
  2009 -0.799E+04  0.322E+04  0.868E+04  0.395E+05  0.269E+05  0.997E+05  0.461E+04  0.317E+04 -0.134E+05 -0.353E+05
  2010            -0.490E+04  0.253E+04  0.683E+04  0.311E+05  0.212E+05  0.816E+05  0.388E+04  0.273E+04 -0.438E+05
====================================================================================================================     


TABLE 1D. STANDARD ERROR OF ABUNDANCE (BY AREA) OF EAST OF 45                                        
====================================================================================================================     
            1          2          3          4          5          6          7          8          9         10
--------------------------------------------------------------------------------------------------------------------     
  1950  0.132E+04  0.468E+03  0.680E+03  0.352E+03  0.222E+03  0.259E+03  0.147E+03  0.562E+02  0.344E+02  0.397E+02
  1951  0.114E+04  0.806E+03  0.368E+03  0.535E+03  0.277E+03  0.175E+03  0.212E+03  0.123E+03  0.482E+02  0.672E+02
  1952  0.191E+04  0.698E+03  0.634E+03  0.290E+03  0.421E+03  0.219E+03  0.144E+03  0.178E+03  0.106E+03  0.103E+03
  1953  0.178E+04  0.117E+04  0.549E+03  0.499E+03  0.228E+03  0.331E+03  0.179E+03  0.120E+03  0.154E+03  0.188E+03
  1954  0.202E+04  0.109E+04  0.919E+03  0.432E+03  0.392E+03  0.179E+03  0.272E+03  0.151E+03  0.103E+03  0.310E+03
  1955  0.128E+04  0.124E+04  0.858E+03  0.723E+03  0.339E+03  0.309E+03  0.146E+03  0.228E+03  0.129E+03  0.372E+03
