 RUN #    SR_TYPE         PARM 1       PARM 2    STD. DEV.       RHO   
  376             1   2169733.0400         0.5000         0.4967         0.0000
  377             1   2169733.0400         0.5000         0.4967         0.0000
  378             1   2169733.0400         0.5000         0.4967         0.0000
  379             1   2169733.0400         0.5000         0.4967         0.0000
  380             1   2169733.0400         0.5000         0.4967         0.0000
  381             1   2169733.0400         0.5000         0.4967         0.0000
  382             1   2169733.0400         0.5000         0.4967         0.0000
  383             1   2169733.0400         0.5000         0.4967         0.0000
  384             1   2169733.0400         0.5000         0.4967         0.0000
  385             1   2169733.0400         0.5000         0.4967         0.0000
  386             1   2169733.0400         0.5000         0.4967         0.0000
  387             1   2169733.0400         0.5000         0.4967         0.0000
  388             1   2169733.0400         0.5000         0.4967         0.0000
  389             1   2169733.0400         0.5000         0.4967         0.0000
  390             1   2169733.0400         0.5000         0.4967         0.0000
  391             1   2169733.0400         0.5000         0.4967         0.0000
  392             1   2169733.0400         0.5000         0.4967         0.0000
  393             1   2169733.0400         0.5000         0.4967         0.0000
  394             1   2169733.0400         0.5000         0.4967         0.0000
  395             1   2169733.0400         0.5000         0.4967         0.0000
  396             1   2169733.0400         0.5000         0.4967         0.0000
  397             1   2169733.0400         0.5000         0.4967         0.0000
  398             1   2169733.0400         0.5000         0.4967         0.0000
  399             1   2169733.0400         0.5000         0.4967         0.0000
  400             1   2169733.0400         0.5000         0.4967         0.0000
  401             1   2169733.0400         0.5000         0.4967         0.0000
  402             1   2169733.0400         0.5000         0.4967         0.0000
  403             1   2169733.0400         0.5000         0.4967         0.0000
  404             1   2169733.0400         0.5000         0.4967         0.0000
  405             1   2169733.0400         0.5000         0.4967         0.0000
  406             1   2169733.0400         0.5000         0.4967         0.0000
  407             1   2169733.0400         0.5000         0.4967         0.0000
  408             1   2169733.0400         0.5000         0.4967         0.0000
  409             1   2169733.0400         0.5000         0.4967         0.0000
  410             1   2169733.0400         0.5000         0.4967         0.0000
  411             1   2169733.0400         0.5000         0.4967         0.0000
  412             1   2169733.0400         0.5000         0.4967         0.0000
  413             1   2169733.0400         0.5000         0.4967         0.0000
  414             1   2169733.0400         0.5000         0.4967         0.0000
  415             1   2169733.0400         0.5000         0.4967         0.0000
  416             1   2169733.0400         0.5000         0.4967         0.0000
  417             1   2169733.0400         0.5000         0.4967         0.0000
  418             1   2169733.0400         0.5000         0.4967         0.0000
  419             1   2169733.0400         0.5000         0.4967         0.0000
  420             1   2169733.0400         0.5000         0.4967         0.0000
  421             1   2169733.0400         0.5000         0.4967         0.0000
  422             1   2169733.0400         0.5000         0.4967         0.0000
  423             1   2169733.0400         0.5000         0.4967         0.0000
  424             1   2169733.0400         0.5000         0.4967         0.0000
  425             1   2169733.0400         0.5000         0.4967         0.0000
  426             1   2169733.0400         0.5000         0.4967         0.0000
  427             1   2169733.0400         0.5000         0.4967         0.0000
  428             1   2169733.0400         0.5000         0.4967         0.0000
  429             1   2169733.0400         0.5000         0.4967         0.0000
  430             1   2169733.0400         0.5000         0.4967         0.0000
  431             1   2169733.0400         0.5000         0.4967         0.0000
  432             1   2169733.0400         0.5000         0.4967         0.0000
  433             1   2169733.0400         0.5000         0.4967         0.0000
  434             1   2169733.0400         0.5000         0.4967         0.0000
  435             1   2169733.0400         0.5000         0.4967         0.0000
  436             1   2169733.0400         0.5000         0.4967         0.0000
  437             1   2169733.0400         0.5000         0.4967         0.0000
  438             1   2169733.0400         0.5000         0.4967         0.0000
  439             1   2169733.0400         0.5000         0.4967         0.0000
  440             1   2169733.0400         0.5000         0.4967         0.0000
  441             1   2169733.0400         0.5000         0.4967         0.0000
  442             1   2169733.0400         0.5000         0.4967         0.0000
  443             1   2169733.0400         0.5000         0.4967         0.0000
  444             1   2169733.0400         0.5000         0.4967         0.0000
  445             1   2169733.0400         0.5000         0.4967         0.0000
  446             1   2169733.0400         0.5000         0.4967         0.0000
  447             1   2169733.0400         0.5000         0.4967         0.0000
  448             1   2169733.0400         0.5000         0.4967         0.0000
  449             1   2169733.0400         0.5000         0.4967         0.0000
  450             1   2169733.0400         0.5000         0.4967         0.0000
  451             1   2169733.0400         0.5000         0.4967         0.0000
  452             1   2169733.0400         0.5000         0.4967         0.0000
  453             1   2169733.0400         0.5000         0.4967         0.0000
  454             1   2169733.0400         0.5000         0.4967         0.0000
  455             1   2169733.0400         0.5000         0.4967         0.0000
  456             1   2169733.0400         0.5000         0.4967         0.0000
  457             1   2169733.0400         0.5000         0.4967         0.0000
  458             1   2169733.0400         0.5000         0.4967         0.0000
  459             1   2169733.0400         0.5000         0.4967         0.0000
  460             1   2169733.0400         0.5000         0.4967         0.0000
  461             1   2169733.0400         0.5000         0.4967         0.0000
  462             1   2169733.0400         0.5000         0.4967         0.0000
  463             1   2169733.0400         0.5000         0.4967         0.0000
  464             1   2169733.0400         0.5000         0.4967         0.0000
  465             1   2169733.0400         0.5000         0.4967         0.0000
  466             1   2169733.0400         0.5000         0.4967         0.0000
  467             1   2169733.0400         0.5000         0.4967         0.0000
  468             1   2169733.0400         0.5000         0.4967         0.0000
  469             1   2169733.0400         0.5000         0.4967         0.0000
  470             1   2169733.0400         0.5000         0.4967         0.0000
  471             1   2169733.0400         0.5000         0.4967         0.0000
  472             1   2169733.0400         0.5000         0.4967         0.0000
  473             1   2169733.0400         0.5000         0.4967         0.0000
  474             1   2169733.0400         0.5000         0.4967         0.0000
  475             1   2169733.0400         0.5000         0.4967         0.0000
  476             1   2169733.0400         0.5000         0.4967         0.0000
  477             1   2169733.0400         0.5000         0.4967         0.0000
  478             1   2169733.0400         0.5000         0.4967         0.0000
  479             1   2169733.0400         0.5000         0.4967         0.0000
  480             1   2169733.0400         0.5000         0.4967         0.0000
  481             1   2169733.0400         0.5000         0.4967         0.0000
  482             1   2169733.0400         0.5000         0.4967         0.0000
  483             1   2169733.0400         0.5000         0.4967         0.0000
  484             1   2169733.0400         0.5000         0.4967         0.0000
  485             1   2169733.0400         0.5000         0.4967         0.0000
  486             1   2169733.0400         0.5000         0.4967         0.0000
  487             1   2169733.0400         0.5000         0.4967         0.0000
  488             1   2169733.0400         0.5000         0.4967         0.0000
  489             1   2169733.0400         0.5000         0.4967         0.0000
  490             1   2169733.0400         0.5000         0.4967         0.0000
  491             1   2169733.0400         0.5000         0.4967         0.0000
  492             1   2169733.0400         0.5000         0.4967         0.0000
  493             1   2169733.0400         0.5000         0.4967         0.0000
  494             1   2169733.0400         0.5000         0.4967         0.0000
  495             1   2169733.0400         0.5000         0.4967         0.0000
  496             1   2169733.0400         0.5000         0.4967         0.0000
  497             1   2169733.0400         0.5000         0.4967         0.0000
  498             1   2169733.0400         0.5000         0.4967         0.0000
  499             1   2169733.0400         0.5000         0.4967         0.0000
  500             1   2169733.0400         0.5000         0.4967         0.0000
